formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group,crystal
PNO,mp-760506,"[[0.074, 0.009, -0.048, 0.002, -0.043, -0.044], [-0.061, -0.017, -0.044, 0.01, -0.006, -0.003], [-0.079, -0.025, 0.004, -0.049, -0.06, 0.002]]",0.135542027869079,2006,0,Tetragonal,-42m,Tetragonal -42m
Mn3Cr(PO4)4,mp-774508,"[[0.068, 0.088, 0.042, 0.0, -0.048, 0.0], [0.0, 0.0, 0.0, -0.03, 0.0, 0.289], [-0.166, -0.326, -0.128, 0.0, 0.064, 0.0]]",0.41196586494974,2007,0,Hexagonal,6,Hexagonal 6
KCa(PO3)3,mp-11625,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.095], [0.095, -0.095, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.133915421836296,2008,0,Orthorhombic,mm2,Orthorhombic mm2
Na3GePCO7,mp-756494,"[[0.0, 0.0, 0.0, -0.235, 0.0, -0.392], [-0.336, 0.101, -0.078, 0.0, -0.227, 0.0], [0.0, 0.0, 0.0, -0.198, 0.0, 0.115]]",0.457606555381056,2009,0,Monoclinic,2,Monoclinic 2
KZnSb,mp-10161,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.217], [0.217, -0.217, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.306651001861087,2010,0,Trigonal,3m,Trigonal 3m
GeSe2,mp-10074,"[[0.0, 0.0, 0.0, -0.136, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.136, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.063]]",0.13558,2011,0,Trigonal,3m,Trigonal 3m
VOF3,mp-753525,"[[0.0, 0.0, 0.0, -0.053, 0.354, 0.0], [0.0, 0.0, 0.0, 0.354, 0.053, 0.0], [0.804, 0.804, 0.704, 0.0, 0.0, 0.0]]",1.33805101617988,2012,0,Orthorhombic,mm2,Orthorhombic mm2
Sm4FeSe6O,mp-17271,"[[0.0, 0.0, 0.0, 0.0, -0.344, 0.0], [0.0, 0.0, 0.0, -0.344, 0.0, 0.0], [-0.205, -0.205, -0.159, 0.0, 0.0, 0.0]]",0.343745020193929,2013,0,Orthorhombic,222,Orthorhombic 222
Nd2PbS4,mp-675620,"[[0.0, 0.0, 0.0, 0.515, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.316, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.316]]",0.51475,2014,0,Tetragonal,-42m,Tetragonal -42m
CrFe(BiO3)2,mp-551086,"[[-0.192, 0.192, 0.0, 0.142, -1.658, 0.912], [0.912, -0.912, 0.0, -1.658, -0.142, 0.192], [-1.755, -1.755, -2.771, 0.0, 0.0, 0.0]]",3.71980316600224,2015,0,Monoclinic,2,Monoclinic 2
Li2MgGeO4,mp-1210797,"[[0.0, 0.0, 0.0, 0.0, 0.445, 0.0], [0.0, 0.0, 0.0, 0.442, 0.0, 0.0], [0.609, 0.615, -1.238, 0.0, 0.0, 0.0]]",1.51082952909983,2016,0,Monoclinic,2,Monoclinic 2
Li2CrSiO4,mp-752524,"[[0.0, 0.0, 0.0, 0.0, 0.269, 0.0], [0.0, 0.0, 0.0, 0.166, 0.0, 0.0], [0.174, 0.622, -0.916, 0.0, 0.0, 0.0]]",1.12059574081578,2017,0,Cubic,-43m,Cubic -43m
H3N,mp-779689,"[[0.0, 0.0, 0.0, 0.012, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.012, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.012]]",0.01201,2018,0,Trigonal,32,Trigonal 32
NaGaTe2,mp-1094098,"[[0.0, 0.0, 0.0, -0.37, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.37, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.674]]",0.674139429339178,2019,0,Tetragonal,-4,Tetragonal -4
Li7Cr2O8,mp-757971,"[[0.483, 0.877, 0.149, 0.071, 0.564, 0.638], [0.342, 0.504, 0.242, 0.135, 0.464, 0.649], [0.085, 0.172, -0.006, 0.072, -0.061, -0.125]]",1.67079410106175,2020,0,Orthorhombic,mm2,Orthorhombic mm2
SrAlH5,mp-568450,"[[0.0, 0.0, 0.0, 0.006, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.143, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.216]]",0.21644,2021,0,Tetragonal,-42m,Tetragonal -42m
LuHO2,mp-625367,"[[0.0, 0.0, 0.0, -0.116, 0.0, -0.297], [-0.22, -0.21, -0.626, 0.0, 0.028, 0.0], [0.0, 0.0, 0.0, -0.128, 0.0, -0.179]]",0.69635532926804,2022,0,Tetragonal,-4,Tetragonal -4
SmTaO4,mp-768230,"[[-1.91, 0.29, 0.679, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.424], [0.0, 0.0, 0.0, 0.0, -0.778, 0.0]]",2.04729916433823,2023,0,Cubic,-43m,Cubic -43m
LiMnPO4,mp-753382,"[[0.0, 0.0, 0.0, -0.31, 0.123, 0.0], [0.0, 0.0, 0.0, -0.123, -0.31, 0.0], [0.199, -0.199, 0.0, 0.0, 0.0, -0.286]]",0.401449112092679,2024,0,Tetragonal,-4,Tetragonal -4
VOF2,mp-777999,"[[-0.917, -1.093, -0.192, 0.0, 0.579, 0.0], [0.0, 0.0, 0.0, 0.663, 0.0, -0.826], [0.578, 0.665, 0.16, 0.0, -0.384, 0.0]]",1.83180170553952,2025,0,Tetragonal,-42m,Tetragonal -42m
LiFe2(ClO)2,mp-755254,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.221], [0.235, 0.082, -0.06, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.421, 0.0, 0.0]]",0.42054,2026,0,Orthorhombic,mm2,Orthorhombic mm2
TaCl4F,mp-27854,"[[0.0, -0.001, 0.001, 0.002, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.003], [0.0, 0.0, 0.0, 0.0, -0.003, 0.0]]",0.002710779408215,2027,0,Tetragonal,4,Tetragonal 4
BeH2SeO4,mp-757836,"[[0.0, 0.0, 0.0, 0.075, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.004, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.148]]",0.14807,2028,0,Cubic,-43m,Cubic -43m
SbOF,mp-753539,"[[0.0, 0.0, 0.0, 0.0, 0.05, 0.0], [0.0, 0.0, 0.0, 0.232, 0.0, 0.0], [0.104, 0.163, 1.175, 0.0, 0.0, 0.0]]",1.19069380224305,2029,0,Orthorhombic,222,Orthorhombic 222
