formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group
BaAs2,mp-31243,"[[-0.204, 0.194, 0.177, 0.0, 0.199, 0.0], [0.0, 0.0, 0.0, -0.027, 0.0, 0.023], [-0.076, -0.137, 0.043, 0.0, 0.176, 0.0]]",0.4005046544598905,1938,0,Cubic,-43m
VO2F,mp-756042,"[[0.0, 0.0, 0.0, -0.508, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 5.838, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.598]]",5.837610000000001,1939,0,Tetragonal,4mm
Mn(AlTe2)2,mp-1025315,"[[0.0, 0.0, 0.0, -0.058, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.058, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.015]]",0.057589999999999975,1940,0,Monoclinic,m
Li2SO4,mp-676723,"[[-0.062, 0.046, -0.037, 0.006, 0.042, -0.005], [0.072, 0.004, -0.034, 0.059, 0.001, 0.032], [0.005, -0.082, 0.008, 0.062, -0.06, 0.014]]",0.14566510474294783,1941,0,Orthorhombic,222
BaLaZnRuO6,mp-39259,"[[-0.933, -0.482, -0.461, -0.08, 0.395, -0.389], [-0.474, 0.222, 0.616, -0.314, 0.097, -0.509], [0.378, 0.208, -0.67, 0.179, -0.745, 0.216]]",1.5542834755273358,1942,0,Cubic,-43m
ZrInAu,mp-961693,"[[0.0, 0.0, 0.0, -0.29, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.29, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.29]]",0.2903902373475072,1943,0,Monoclinic,m
K7NbAs4,mp-18361,"[[0.0, 0.0, 0.0, 0.0, 0.342, 0.0], [0.0, 0.0, 0.0, 0.17, 0.0, 0.0], [0.272, 0.261, 0.229, 0.0, 0.0, 0.0]]",0.4407841351500755,1944,0,Triclinic,1
AlAgSnSe4,mp-1228963,"[[0.0, 0.0, 0.0, -0.525, 0.017, 0.0], [0.0, 0.0, 0.0, -0.017, -0.525, 0.0], [0.048, -0.048, 0.0, 0.0, 0.0, -0.623]]",0.6269796828080137,1945,0,Orthorhombic,mm2
Sr(Si3N4)2,mp-567278,"[[0.0, 0.0, 0.0, 0.0, 0.596, 0.0], [0.0, 0.0, 0.0, -0.215, 0.0, 0.0], [0.977, -0.213, 0.886, 0.0, 0.0, 0.0]]",1.3361487121574454,1946,0,Tetragonal,422
Li4Al3Si3ClO12,mp-23648,"[[0.0, 0.0, 0.0, 0.193, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.193, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.193]]",0.19277999999999998,1947,0,Monoclinic,2
LiHS,mp-644271,"[[0.0, 0.0, 0.0, 0.0, 0.113, 0.0], [0.0, 0.0, 0.0, 0.394, 0.0, 0.0], [0.0, -0.02, 0.131, 0.0, 0.0, 0.0]]",0.3940800000000001,1948,0,Cubic,23
LaAg(MoO4)2,mp-1223057,"[[0.0, 0.0, 0.0, 0.026, -0.258, 0.0], [0.0, 0.0, 0.0, 0.258, 0.026, 0.0], [-0.102, 0.102, 0.0, 0.0, 0.0, -0.013]]",0.25938803258828014,1949,0,Tetragonal,4mm
